Bảng 1
Drug ;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse;;;;;;;;;;
Procardia XL;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Adderall XR ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Adderall ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablet;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Astagraf ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Envarsus XR;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Prograf;No;Use suspension;;;;Use Suspension;-;-;-;;;;;;;;;;
Tacrolimus;Suspension available;Use suspension;-;-;-;Use Suspension;-;-;-;;;;;;;;;;
Advicor ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Adzenys XR-ODT ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Aemcolo;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Afeditab CR ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Afinitor ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Everolimus;No;;;;;Data not available;;;;;;;;;;;;;
Aggrenox ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Aspirin and Dipyridamole;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Alavert;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Alavert Allergy and Sinus ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Alecensa ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Alkindi Spinkle ;;Data not available;;;;Data not available;;;;;;;;;;;;;
Allegra-D ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Fexofenadine and Pseudoephedrine;Yes;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Alprazolam;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Ramipril;No;Poorly soluble require extra rinsing;20;2;30;Poorly soluble require extra rinsing;20;2;30;;;;;;;;;;
Altace ;No;Poorly soluble require extra rinsing;20;2;30;Poorly soluble require extra rinsing;20;2;30;;;;;;;;;;
Lovastatin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mevacor;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Altoprev ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Alunbrig ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ambien;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ambien CR ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lubiprostone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Amitiza;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Amnesteem ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Isotretinoin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ampyra ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Dalfampridine;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Flexeril;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Amrix ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Bupropion;No;Contain co-precipitate, mix in syringe and extra rinse;10;2;20;Contain co-precipitate, mix in syringe and extra rinse;10;2;20;;;;;;;;;;
Wellbutrin SR;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
WellButrin XL;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Bupropion XL;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Aplenzin ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Mesalamine ER;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Apriso ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Aptensio XR ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Methylphenidate ;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Aptivus ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Arakoda ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Aricept ;No;Dissolves quickly;10;1;20;Dissolves quickly;10;1;20;;;;;;;;;;
Donepezil;No;Dissolves quickly;10;1;20;Dissolves quickly;10;1;20;;;;;;;;;;
Aricept ODT;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Leflunomide;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Arava ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Arthrotec ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mesalamine ER;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lialda ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Asacol HD ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Aspirin chewable tablet;No;does not dissolve well, use immediately as drug degrades in solution;10;1;10;does not dissolve well, use immediately as drug degrades in solution;10;1;10;;;;;;;;;;
Aspirin Delayed Released Tablet;No;does not dissolve well, use immediately as drug degrades in solution;10;1;10;does not dissolve well, use immediately as drug degrades in solution;10;1;10;;;;;;;;;;
Aspirin EC tablet;No;does not dissolve well, use immediately as drug degrades in solution;10;1;10;does not dissolve well, use immediately as drug degrades in solution;10;1;10;;;;;;;;;;
Astagraf XL ;No;Not For Feeding Tube;;;;Data not available;;;;;;;;;;;;;
Risedronate Sodium;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Atelvia ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Atorvastatin;No;Forms clogs easily, use 30ml water to rinse;10;2;30;Forms clogs easily, use 30ml water to rinse;10;2;30;;;;;;;;;;
Amoxicillin and Clavulanate;Suspension available;Use suspension;-;-;-;use suspension;-;-;-;;;;;;;;;;
Augmentin;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Augmentin XR ;Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Amoxicillin and Clavulanate;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Auryxia ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Ferric Citrate;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Austedo XR;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Austedo ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Auvelity;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Avelox;Intravenous solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Avodart ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dutasteride;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Azulfidine EN-tabs;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Sulfasalazine DR;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Bafiertam ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Balcoltra ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Balversa;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Belbuca ;Suppository available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Buprenorphine;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Belsomra ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Tessalon Perle;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Benzonatate;No;Do not dissolve. Not for Tube feeding;-;-;-;Do not dissolve. Not for Tube feeding;-;-;-;;;;;;;;;;
Biaxin XL;Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Clarithromycin ER;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Biltricide ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Binosto ;Yes;Data not available;;;;Data not available;;;;;;;;;;;;;
Bisacodyl;Suppository available;Drug is enteric coated - but can be crushed;10;1;10;Drug is enteric coated - but can be crushed;10;1;10;;;;;;;;;;
Ibandronate Sodium;Intravenous solution available;;;;;Data not available;;;;;;;;;;;;;
Boniva;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Doxylamine and Pyridoxine;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Bonjesta(Doxylamine and Pyridoxine);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Bosulif ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Bosulif ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Brincidofovir;Suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Tembexa;Suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Brenzavvy ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Brivaracetam;Oral and intravenous solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Briviact;Oral and intravenous solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Brukinsa;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Buprenorphine and Naloxone Sublingual);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Suboxone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Buproban ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Bupropion XL;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Bylvay(Odevixibat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cabometylx ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Verapamil;Intravenous solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Calan SR ;Intravenous solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Calquence capsule;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Calquece Tablet;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Campral ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Acamprosate sodium ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Caprelsa (Vandetanib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Carbaglu(Carglumic acid);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Carbamazepine ER;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Carbatrol ;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Diltiazem CD;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Cardizem CD ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Diltiazem LA;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Cardizem LA ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Diltiazem ER;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;;-;;;;;;;;;;
Cardura XL ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Bicalutamide;No;Dissolves quickly, mix in syringe and extra rinse;10;1;10;Dissolves quickly, mix in syringe and extra rinse;10;1;10;;;;;;;;;;
Casodex ;No;Dissolves quickly, mix in syringe and extra rinse;10;1;10;Dissolves quickly, mix in syringe and extra rinse;10;1;10;;;;;;;;;;
Cefaclor;Suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Cefaclor ER;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ceftin ;Oral suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Cefuroxime;Oral suspension available;Data not available;;;;Data not available;;;;;;;;;;;;;
Cellcept Capsule;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Cellcept  Tablet;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Mycophenolate Mofetil;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Mycophenolate Mofetil;Oral solution and Intravenous solution available;Data not available;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Cerdelga (Eliglustat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cesamet (Nabilone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cholbam (Cholic acid);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cibinqo(Abrocitinib);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Cipro XR ;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Isotretinoin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Amnesteem ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Claravis ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Claritin-d 12 hour ;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Claritin-d 24 hour ;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Docusate Sodium;Solution available;Use Liquid;-;-;-;Use Liquid;-;-;-;;;;;;;;;;
Colace ;Solution available;Use Liquid;-;-;-;Use Liquid;-;-;-;;;;;;;;;;
Balsalazide;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Colazal ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Colestipol hydrochloride;Granule for suspension is available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Colestid ;Granule for suspension is available;Use suspension;-;-;-;Use suspension;-;-;-;;;;;;;;;;
Cometriq (Cabozantinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Methylphenidate ER;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Dexmethylhpenidate;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Focalin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dexmethylphenidate;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Focalin XR ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Methylphenidate ;Oral solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Ritalin;Oral solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Ritalin LA;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ritalin-SR;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Metadate CD ;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Concerta ;Oral solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Naltrexone and Bupropion;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;;;;;;;;;;;;;
Contrave ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
ConZip ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Copiktra(Duvelisib);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Carvedilol ER;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Coreg CR ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Cotellic (Cobimetinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cotempla XR-ODT ;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Creon ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Cresemba (Isavuconazium);Intravenous solution available;;;;;Data not available;;;;;;;;;;;;;
Crixivan(Indinavir);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Cyclophosphamide;Intravenous solution available;Chemotherapy. Use injection form;-;-;-;Chemotherapy. Use injection form;-;-;-;;;;;;;;;;
Dartisla-ODT (Glycopyrilate);Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Daurismo (Glasdegib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Delzicol ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Valproic acid;Solution available;Use solution;-;-;-;use solution;-;-;-;;;;;;;;;;
Depakene ;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Depakote ;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Divalproex ER;Solution available;Not For Feeding Tube;- ;-;-;Not For Feeding Tube;- ;-;-;;;;;;;;;;
Depalote ER ;Solution available;Not For Feeding Tube;- ;- ;- ;Not For Feeding Tube;- ;- ;- ;;;;;;;;;;
Depakote Sprinkles (Divalproex);Solution available;Not For Feeding Tube;- ;- ;- ;Not For Feeding Tube;- ;- ;- ;;;;;;;;;;
Detrol;No;Dissolves quickly need extra rinse;10;2;20;Dissolves quickly need extra rinse;10;2;20;;;;;;;;;;
Tolterodine;No;Dissolves quickly need extra rinse;10;2;20;Dissolves quickly need extra rinse;10;2;20;;;;;;;;;;
Detrol LA (Tolterodine);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Dexedrine Spansule;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Dexlansoprazole;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Dexilant ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Diacomit (Stiripentol);Packet available;Data not available;;;;Data not available;;;;;;;;;;;;;
Acetazolamide;INtravenous solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Diamox Sequels ;Intravenous solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Dibenzyline (phenoxybenzamine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Diclegis (Doxylamine and Pyridoxine);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Diflunisal;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Phenytoin;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Dilantin ;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Isosorbide Dinitrate ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Dilatrate-SR ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Diltiazem;Intravenous solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Dilt-XR ;Intravenous solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Ditropan;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ditropan XL ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Divalproex ER;Solution available;Not For Feeding Tube;- ;- ;- ;Not For Feeding tube;- ;- ;- ;;;;;;;;;;
Doryx ;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Doryx MPC;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Drisdol ;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Ergocalciferol;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Drizalma sprinkle ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Droxia ;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydroxyurea;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Duavee (Estrogens [conjugated/equine) and Bazedoxifene);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Duexis (Ibuprofen and Famotidine);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Dulcolax (Bisacodyl);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Dulcolax (bisacodyl);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Durlaza ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
EC- Naprosyn ;No;Slow dissolution extra rinse needed;10;2;20;Slow dissolution extra rinse needed;10;2;20;;;;;;;;;;
Naproxen;no;Slow dissolution extra rinse needed;10;2;20;Slow dissolution extra rinse needed;10;2;20;;;;;;;;;;
E.E.S (Erythromycin);Suspension available;Date Not Available;;;;Data not available;;;;;;;;;;;;;
Effer-K (Potassium Bicarbonate and potassium Citrate);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Levetiracetam ER;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Elepsia XR ;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Keppra;Solution available;Use solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Levetiracetam ;Solution available;Use solution;-;-;-;Use solution;-;-;-;;;;;;;;;;
Embeda (Morphine and Naltrexone);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Emend ;Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Aprepitant;Suspension availbable ;Use suspension, capsule difficult to administer;-;-;-;Use suspension, capsule difficult to administer;-;-;-;;;;;;;;;;
Enablex (Darifenacin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Entocort EC ;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Envarsus XR ;Packet available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Tacrolimus;Packet available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Epclusa (Sofosbuvir and Velpatasvir);Packet available;Data not available;;;;Data not available;;;;;;;;;;;;;
Carbamazepine ER;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Equetro ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ergomar (Ergotamine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Erivedge (Vismodegib);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Erleada (Apalutamide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Eryc (Erythromycin);Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ery-Tab (Erythromycin);Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Erythromycin Base ;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Erythromycin Delayed release;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Erythromycin Ethylsuccinate ;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Erythromycin Stearate;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Etoposide;Intravenous solution available;;;;;Data not available;;;;;;;;;;;;;
Evekeo ODT (amphetamine);Suspension available;;;;;Data not available;;;;;;;;;;;;;
Evista;Suspension available;Dissolve quickly;10;3;20;Dissolve quickly;10;3;20;;;;;;;;;;
Raloxifene;Suspension available;Dissolve quickly;10;3;20;Dissolve quickly;10;3;20;;;;;;;;;;
Exalgo (Hydromorphone);Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Exelon (Rivastigmine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Exjade (Deferasirox);Packet available;Data not available;;;;Data not available;;;;;;;;;;;;;
