MediCrush1017.xlsx - Sheet1
Drug ;Dose Form;Comment;RPH1;Date ;Reference;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse
Procardia;Capsule;capsules are given orally and either swallowed whole, bitten and swallowed, or bitten and held sublingually;Hn;07/26/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/018482s052lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Procardia XL;Extended Released Tablet;PROCARDIA XL Extended Release Tablets should be swallowed whole and should not be bitten or divided;HN;07/26/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8ebcb33c-f43b-4b36-9f94-9774b2a59e06;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Adderall XR ;Extended Release tablet;"ADDERALL XR extended-release capsules may be taken whole, or the capsule may be opened and the entire contents sprinkled on applesauce. If the patient is using the sprinkle administration method, the sprinkled applesauce should be consumed immediately; it should not be stored. Patients should take the applesauce with sprinkled beads in its entirety without chewing";HN;07/26/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Adderall ;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf;No;Data not available;;;;Data not available;;;
Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablet;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf;No;Data not available;;;;Data not available;;;
Astagraf ;Extended release capsule;Swallow as a whole. Do not chew, divide or crush the capsule;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/204096s003s004lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Envarsus XR;Extended release tablet;"Swallow ENVARSUS XR whole with fluid (preferably water); do not chew, divide, or crush the tablets";HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/206406s000lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Prograf;Capsule;package insert for more information;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050708s055,010115s007lbl.pdf;No;Use suspension;;;;Use Suspension;-;-;-
Tacrolimus;Capsule;Package insert for more information;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/065461s000lbl.pdf;Suspension available;Use suspension;-;-;-;Use Suspension;-;-;-
Advicor ;Tablet;ADVICOR tablets should be taken whole and should not be broken, crushed, or chewed before swallowing;HN;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dbdee4c0-86fa-4857-b536-79bf9ebb911a;No;Data not available;;;;Data not available;;;
Adzenys XR-ODT ;Extended-release orally disintegrating tablet;Allow tablet to disintegrate in saliva then swallow;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204326s018lbl.pdf;No;Data not available;;;;Data not available;;;
Aemcolo;Delayed Released Tablet;Swallow the tablets whole. Do NOT crush, break or chew the delayed-release tablet;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210910s000lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Afeditab CR ;Extended Released Tablet;Discontinued medication;HN;07/27/25;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=323351d8-de18-4cd6-9497-c2d5e8666414;No;Data not available;;;;Data not available;;;
Afinitor ;Tablet;AFINITOR should be swallowed whole with a glass of water. Do not break or crush tablet;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/203985s023,022334s051lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Everolimus;Tablet;should be swallowed whole with a glass of water. Do not break or crush tablet;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/203985s023,022334s051lbl.pdf;No;;;;;Data not available;;;
Aggrenox ;Extended released Capsule;Swallow capsules whole without chewing;HN;9/13/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020884;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Aspirin and Dipyridamole;Extended released Capsule;Swallow capsules whole without chewing;HN;9/13/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=020884;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Alavert;Disintergrating tablet;Let tablet melt in mouth. Can be taken with or without water;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2002/021375lbl.pdf;No;Data not available;;;;Data not available;;;
Alavert Allergy and Sinus ;Extended Released Tablet;Swallow the tablets whole. Do NOT crush, break or chew the delayed-release tablet;HN;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1a669f3c-36a6-439e-843d-47638fa217e8;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Alecensa ;Capsule;Swallow capsules whole, do not open or dissolve the contents of the capsule;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208434s015lbl.pdf;No;Data not available;;;;Data not available;;;
Alkindi Spinkle ;Capsule;Do not swallow the capsules. Do not chew or crush the granules. Long instruction. check package insert;HN;07/27/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/213876s000lbl.pdf;;Data not available;;;;Data not available;;;
Allegra-D ;Extended Release tablet;Swallow the tablets whole. Do NOT crush, break or chew the delayed-release tablet;HN;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1fb77d6a-fae2-40ae-8f8e-fa2dc66f4403;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Fexofenadine and Pseudoephedrine;Extended Release tablet;Swallow the tablets whole. Do NOT crush, break or chew the delayed-release tablet;HN;9/13/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1fb77d6a-fae2-40ae-8f8e-fa2dc66f4403;Yes;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Alprazolam;Extended Release tablet;"Swallow tablets whole; do not divide, crush, or chew";HN;7/26/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c8990714-c2f5-4b0c-9f1c-91d77156d962;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Ramipril;Capsule;Swallow ramipril capsules whole. The ramipril capsule can also be opened and the contents sprinkled on a small amount (about 4 oz.) of applesauce or mixed in 4 oz. (120 mL) of water or apple juice;HN;7/26/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d6d57158-e8f9-4c91-8317-0374e0c87d33;No;Poorly soluble require extra rinsing;20;2;30;Poorly soluble require extra rinsing;20;2;30
Altace ;Capsule;Swallow ALTACE capsules whole. The ALTACE capsule can also be opened and the contents sprinkled on a small amount (about 4 oz.) of applesauce or mixed in 4 oz. (120 mL) of water or apple juice;HN;7/26/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0fc34cd8-86e6-4034-73bd-4263a68ba046;No;Poorly soluble require extra rinsing;20;2;30;Poorly soluble require extra rinsing;20;2;30
Lovastatin;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/019643s088lbl.pdf;No;Data not available;;;;Data not available;;;
Mevacor;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/019643s088lbl.pdf;No;Data not available;;;;Data not available;;;
Altoprev ;Extended Released Tablet;Swallow tablets whole. Do not split, crush, or chew the extended-release tablet;HN;7/26/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8c0db100-5df9-49c3-8af9-1bc03ae609b9;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Alunbrig ;Extended Released Tablet;Swallow tablets whole. Do not crush or chew tablet;HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208772lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Ambien;Film Coated tablet;Film coated Tablet . Tablets are not scored.  Swallow whole tablet;HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019908s40s044s047lbl.pdf;No;Data not available;;;;Data not available;;;
Ambien CR ;Extended Released Tablet;AMBIEN CR extended-release tablets should be swallowed whole, and not be divided, crushed, or chewed;HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021774s021s025s028lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Lubiprostone;Capsule;must be swallowed whole and not ;HN;7/26/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021908;No;Data not available;;;;Data not available;;;
Amitiza;Capsule;must be swallowed whole and not ;HN;7/26/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021908;No;Data not available;;;;Data not available;;;
Amnesteem ;Capsule;chewed, cut, or crushed;HN;7/26/2025;https://www.uptodate.com/contents/isotretinoin-drug-information?search=amnesteem&source=panel_search_result&selectedTitle=1~125&usage_type=panel&kp_tab=drug_general&display_rank=1#F185157;No;Data not available;;;;Data not available;;;
Isotretinoin;Capsule;"capsules should be swallowed whole with a full glass of liquid; do not chew or suck on the capsule. For patients unable to swallow capsule whole, an oral liquid may be prepared (see ""Extemporaneously Prepared""); may irritate esophagus if contents are removed from the capsule";HN;7/26/2025;https://www.uptodate.com/contents/isotretinoin-drug-information?search=amnesteem&source=panel_search_result&selectedTitle=1~125&usage_type=panel&kp_tab=drug_general&display_rank=1#F185157;No;Data not available;;;;Data not available;;;
Ampyra ;Extended Released Tablet;"Administer tablets whole; do not divide, crush, chew, or dissolve AMPYRA tablets";HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022250s019lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Dalfampridine;Extended Released Tablet;"Administer tablets whole; do not divide, crush, chew, or dissolve AMPYRA tablets";HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022250s019lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Flexeril;Film Coated tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/017821s051lbl.pdf;No;Data not available;;;;Data not available;;;
Amrix ;Extended released Capsule;swallow AMRIX capsules intact. Alternatively, the contents of the AMRIX capsule may be sprinkled over applesauce and then swallowed. Do not chew;HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021777s019lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Bupropion;Film Coated tablet;tablets should be swallowed whole and not crushed, divided, or chewed;HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6563b923-269f-40c3-b992-cbacdfca6e16;No;Contain co-precipitate, mix in syringe and extra rinse;10;2;20;Contain co-precipitate, mix in syringe and extra rinse;10;2;20
Wellbutrin SR;Exented Released Tablet;WELLBUTRIN SR tablets should be swallowed whole and not crushed, divided, or chewed;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020358s068lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
WellButrin XL;Extended Released Tablet;swallow WELLBUTRIN XL Tablets whole so that the release 366 rate is not altered. Do not chew, divide, or crush tablets;HN;9/18/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21515_wellbutrin_lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Bupropion XL;Extended Released Tablet;swallow WELLBUTRIN XL Tablets whole so that the release 366 rate is not altered. Do not chew, divide, or crush tablets;HN;9/18/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2003/21515_wellbutrin_lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Aplenzin ;Extended Released Tablet;APLENZIN should be swallowed whole and not crushed, divided, or chewed;HN;7/26/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/022108lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Mesalamine ER;Extended released Capsule;Swallow the capsules whole. Do not cut, break, crush or chew the capsules;HN;07/26/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022301s022lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Apriso ;Extended released Capsule;Swallow the capsules whole. Do not cut, break, crush or chew the capsules;HN;07/26/25;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022301s022lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Aptensio XR ;Extended Released Capsule;"APTENSIO XR may be taken whole or the capsule may be opened and the entire contents sprinkled onto 
applesauce";HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/205831s003lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Methylphenidate ;Extended Released Capsule;"Capsule may be taken whole or the capsule may be opened and the entire contents sprinkled onto 
applesauce";HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/205831s003lbl.pdf;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Aptivus ;Capsule;"APTIVUS capsules must be swallowed whole and must not be opened or 
chewed";HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021814s030lbl.pdf;No;Data not available;;;;Data not available;;;
Arakoda ;Tablet;Swallow the tablet whole. Do not break, crush or chew the tablets. ;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210607lbl.pdf;No;Data not available;;;;Data not available;;;
Aricept ;Tablet;Tablet should not be split, crushed, or chewed;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020690s042,021720s014,022568s011lbl.pdf;No;Dissolves quickly;10;1;20;Dissolves quickly;10;1;20
Donepezil;Tablet;Tablet should not be split, crushed, or chewed;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020690s042,021720s014,022568s011lbl.pdf;No;Dissolves quickly;10;1;20;Dissolves quickly;10;1;20
Aricept ODT;ODT Tablet ;Discontinued medication;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020690s042,021720s014,022568s011lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Leflunomide;Tablet;Teratogenic potential, hazardous substances;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020905s033lbl.pdf;No;Data not available;;;;Data not available;;;
Arava ;Tablet;Teratogenic potential, hazardous substances;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020905s033lbl.pdf;No;Data not available;;;;Data not available;;;
Arthrotec ;Delayed released tablet;Delayed release tablet. Do not crush;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020607s043lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Mesalamine ER;Delayed released tablet ;"Swallow  tablets whole; do not split or crush";HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/091640Orig1s000lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Lialda ;Delayed Released Tablet;"Swallow LIALDA tablets whole; do not split or crush";HN;9/13/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022000s027lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Asacol HD ;Tablet;Discontinued medication;HN;7/27/2025;https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=021830;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Aspirin chewable tablet;Chewable tablet;Crushable, may split in half;HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c8484998-e0e1-ffce-e053-2995a90aa7de;No;does not dissolve well, use immediately as drug degrades in solution;10;1;10;does not dissolve well, use immediately as drug degrades in solution;10;1;10
Aspirin Delayed Released Tablet;Delayed released Tablet;must be swallowed whole and not ;HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c3c4854e-726e-4926-b044-a5094943c306;No;does not dissolve well, use immediately as drug degrades in solution;10;1;10;does not dissolve well, use immediately as drug degrades in solution;10;1;10
Aspirin EC tablet;Enteric Coated Tablet;chewed, cut, or crushed;HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d21a68ad-981b-b4f9-e053-2995a90a358b;No;does not dissolve well, use immediately as drug degrades in solution;10;1;10;does not dissolve well, use immediately as drug degrades in solution;10;1;10
Astagraf XL ;Extended released Capsule;Capsules must be taken whole;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204096s011lbl.pdf;No;Not For Feeding Tube;;;;Data not available;;;
Risedronate Sodium;Extended Released Tablet;Do not chew, cut, or crush Atelvia tablets. Take as a whole tablet;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022560s011lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Atelvia ;Extended Released Tablet;Do not chew, cut, or crush Atelvia tablets. Take as a whole tablet;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022560s011lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Atorvastatin;Filmed Coated Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d9adb9e4-c495-9530-e5e3-7e3b01d53e4c;No;Forms clogs easily, use 30ml water to rinse;10;2;30;Forms clogs easily, use 30ml water to rinse;10;2;30
Amoxicillin and Clavulanate;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;7/27/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7989371d-feed-6c25-e053-2991aa0a967d;Suspension available;Use suspension;-;-;-;use suspension;-;-;-
Augmentin;Filmed Coated Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/050564s060,050575s051,050597s052,050720s037,050725s036,050726s027lbl.pdf;Suspension available;;;;;Data not available;;;
Augmentin XR ;Extended Released Tablet;AUGMENTIN XR can be split in half along the score line for patients with difficulty swallowing the tablets whole;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/050785s019lbl.pdf;Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Amoxicillin and Clavulanate;Extended Released Tablet;AUGMENTIN XR can be split in half along the score line for patients with difficulty swallowing the tablets whole;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/050785s019lbl.pdf;Suspension available;;;;;Data not available;;;
Auryxia ;Filmed Coated Tablet;tablets must not be chewed or crushed because it may cause discoloration of mouth and teeth;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205874s029lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Ferric Citrate;Filmed Coated Tablet;tablets must not be chewed or crushed because it may cause discoloration of mouth and teeth;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205874s029lbl.pdf;No;Data not available;;;;Data not available;;;
Austedo XR;Extended Released tablet ;Swallow AUSTEDO whole. Do not chew, crush, or break tablets;HN;7/27/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208082s018,216354s008lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
